tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,clean_text
RT @mention make sure to stop by the smilebooth! RT @mention #GSDM &amp; #Google The Industry Party for #SXSW is on. And @mention is in the house.,,No emotion toward brand or product,make sure to stop by the smilebooth! rt #gsdm &amp; #google the industry party for #sxsw is on. and is in the house.
Definition of Meeping:  Google Messaging {link} #techi #sxsw,,No emotion toward brand or product,definition of meeping: google messaging #techi #sxsw
"RT @mention Android may be gaining market share, but you'd never know it at #sxsw. Apparently our industry movers and shakers are Apple loyalists.",,No emotion toward brand or product,"android may be gaining market share, but you'd never know it at #sxsw. apparently our industry movers and shakers are apple loyalists."
I can't help but wonder if Apple sent extra iPad 2's to Austin-area stores?  #SXSW,,No emotion toward brand or product,i can't help but wonder if apple sent extra ipad 2's to austin-area stores? #sxsw
Why Barry Diller thinks iPad only content is nuts @mention #SXSW @mention {link} @mention,iPad,Negative emotion,why barry diller thinks ipad only content is nuts #sxsw
AWESOME!! ipad 2 jailbreak!! {link} Grateful Dead #fab5 #sxsw,iPad,Positive emotion,awesome!! ipad 2 jailbreak!! grateful dead #fab5 #sxsw
Google maps route around traffic is saving users 2 years of time every day @mention #sxsw,Other Google product or service,Positive emotion,google maps route around traffic is saving users 2 years of time every day #sxsw
The iPad design panel in Hilton Salon J is filling up quickly. No surprises there. #tapworthy #sxsw,,No emotion toward brand or product,the ipad design panel in hilton salon j is filling up quickly. no surprises there. #tapworthy #sxsw
Just put my first sticker on my mac after signing up for the @mention iPhone beta at  #sxsw  {link},,No emotion toward brand or product,just put my first sticker on my mac after signing up for the iphone beta at #sxsw
"Gearing up to make a splash, @mention to Launch &quot;Groupon or Living Social-type&quot; Rewards at #SXSW {link} via @mention",,No emotion toward brand or product,"gearing up to make a splash, to launch &quot;groupon or living social-type&quot; rewards at #sxsw via"
Will somebody write an app that lets me consistently type &quot;SHIT&quot; on my goddamn iphone? Hey #sxsw ... jump on that.,iPhone,Negative emotion,will somebody write an app that lets me consistently type &quot;shit&quot; on my goddamn iphone? hey #sxsw ... jump on that.
Good to meet and see all @mention Don't forget: #mindjet giving away an #iPad for best MindManager map of  #SXSWi details: {link},iPad,Positive emotion,good to meet and see all don't forget: #mindjet giving away an #ipad for best mindmanager map of #sxswi details:
"Such an eventful day,earthquake, tsunami and #iPad 2 plus #SXSW.. {link}",,No emotion toward brand or product,"such an eventful day,earthquake, tsunami and #ipad 2 plus #sxsw.."
"To be enchanting, offer the likeability of Virgin Airlines, the trustworthiness of Zappos &amp; great products of Apple. @mention #sxsw",Apple,Positive emotion,"to be enchanting, offer the likeability of virgin airlines, the trustworthiness of zappos &amp; great products of apple. #sxsw"
"#Awesome @mention &amp; @mention on ranking: There are no normal results, quit ranking. Page views, unique visitors - these analytics matter #sxsw",,No emotion toward brand or product,"#awesome &amp; on ranking: there are no normal results, quit ranking. page views, unique visitors - these analytics matter #sxsw"
"RT @mention Apple's pop up shop on Lavaca and 6th #sxsw yes, the line wraps around the block (@mention Apple Store, SXSW) {link}",,No emotion toward brand or product,"apple's pop up shop on lavaca and 6th #sxsw yes, the line wraps around the block ( apple store, sxsw)"
Next and last panel for today: &quot;Google Doodles: Burning Man to Pac-Man and Beyond&quot; #SXSW #SXSWi #GoogleDoodles,,No emotion toward brand or product,next and last panel for today: &quot;google doodles: burning man to pac-man and beyond&quot; #sxsw #sxswi #googledoodles
Does anyone have a picture of #apple 's pop up store at #sxsw Austin???  I wanna see!,,No emotion toward brand or product,does anyone have a picture of #apple 's pop up store at #sxsw austin??? i wanna see!
Thanks for the free drinks Google!  #sxsw (@mention Speakeasy w/ 47 others) {link},Google,Positive emotion,thanks for the free drinks google! #sxsw ( speakeasy w/ 47 others)
Health sessions at #sxsw (via @mention {link},,No emotion toward brand or product,health sessions at #sxsw (via
"Wonder how many sold at #SXSW? iPad 2 Sold Out, 70% Went to New Buyers [REPORT] {link}",,No emotion toward brand or product,"wonder how many sold at #sxsw? ipad 2 sold out, 70% went to new buyers [report]"
"At the Apple store that they literally built in just for the #SXSW conference!  @mention Apple Store, SXSW {link} #photo",Apple,Positive emotion,"at the apple store that they literally built in just for the #sxsw conference! apple store, sxsw #photo"
"Google to Launch Major New Social Network Called Circles, Possibly Today (Updated) at #SXSW {link}",,No emotion toward brand or product,"google to launch major new social network called circles, possibly today (updated) at #sxsw"
Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,Apple,Positive emotion,good news for austin-bound apple fanboys: #sxsw #ipad2
Win a free iPad 2 from webdoc.com #sxsw RT,,No emotion toward brand or product,win a free ipad 2 from webdoc.com #sxsw rt
"RT @mention Gearing up to make a splash, @mention to Launch &quot;Groupon or Living Social-type&quot; Rewards at #SXSW {link}",,No emotion toward brand or product,"gearing up to make a splash, to launch &quot;groupon or living social-type&quot; rewards at #sxsw"
"RT @mention Developers Learn About Mobile Accessibility #sxsw, Android 3.0 to Include Browser Access {link}",,No emotion toward brand or product,"developers learn about mobile accessibility #sxsw, android 3.0 to include browser access"
Hey Marissa Mayer. Please tell us something new. Not about products Google launched months ago. #sxsw,Google,Negative emotion,hey marissa mayer. please tell us something new. not about products google launched months ago. #sxsw
"I'll use an iPad 2 if someone gives it to me. Otherwise, iPhone is actually more than up to task #sxsw",iPhone,Positive emotion,"i'll use an ipad 2 if someone gives it to me. otherwise, iphone is actually more than up to task #sxsw"
@mention Best thing I've heard at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.(@mention @mention #SXSWGOOD,iPad,Negative emotion,best thing i've heard at #sxsw &quot;i gave my ipad 2 money to #japan relief. i don't need an ipad 2.( #sxswgood
Download Gowalla 3 for Android. Just in time for #SXSW huh? @mention Foliot International HQ {link},,No emotion toward brand or product,download gowalla 3 for android. just in time for #sxsw huh? foliot international hq
"RT @mention #SXSW quote of the day on iPad interface design: &quot;...If not relatable, discoverable.&quot; #iPad #digital",,No emotion toward brand or product,"#sxsw quote of the day on ipad interface design: &quot;...if not relatable, discoverable.&quot; #ipad #digital"
@mention just got me an iPad from #SXSW Apple Store.  Thank you SO much!!!!,iPad,Positive emotion,just got me an ipad from #sxsw apple store. thank you so much!!!!
#localmind sounds awesome.. location based Q&amp;A could be incredibly useful. {link} #iphone #sxsw,iPhone,Positive emotion,#localmind sounds awesome.. location based q&amp;a could be incredibly useful. #iphone #sxsw
"@mention @mention Will bring great toys and demos, thanks for including us.  And look for the #SXSW booth - right next to Google!",,No emotion toward brand or product,"will bring great toys and demos, thanks for including us. and look for the #sxsw booth - right next to google!"
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link},Apple,Positive emotion,surprise! apple has opened a pop-up store in austin so that the nerds in town for #sxsw can get their new ipads....
Waiting eagerly for Google to launch their secret new Social Network called Circles today at #SXSW &gt;&gt; Any new updates ?,Other Google product or service,Positive emotion,waiting eagerly for google to launch their secret new social network called circles today at #sxsw &gt;&gt; any new updates ?
On average Google Maps sees 40% of its users come from mobile devices. We are becoming more connected (@mention #SXSW #donline ^DK,,No emotion toward brand or product,on average google maps sees 40% of its users come from mobile devices. we are becoming more connected ( #sxsw #donline ^dk
Open graph did repair the damage google did to the title tag. #sxsw #microformats,Google,Negative emotion,open graph did repair the damage google did to the title tag. #sxsw #microformats
The end of the line is one block away from the Apple pop up #sxsw,,No emotion toward brand or product,the end of the line is one block away from the apple pop up #sxsw
It is well known steve jobs hates #sxsw RT @mention iPhone just autocorrected &quot;sxsw&quot; to &quot;ass's&quot;.,,No emotion toward brand or product,it is well known steve jobs hates #sxsw rt iphone just autocorrected &quot;sxsw&quot; to &quot;ass's&quot;.
iPhone users at #SXSW - any of you have your GPS stuck on? Is one of the new geo app updates doing it? FourSquare/gowalla?,iPhone,Negative emotion,iphone users at #sxsw - any of you have your gps stuck on? is one of the new geo app updates doing it? foursquare/gowalla?
@mention another google social failure? #sxsw,Google,Negative emotion,another google social failure? #sxsw
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,No emotion toward brand or product,"attending &quot;left brain search = google, right brain search = x&quot; #bettersearch -- talking about the future of search engines at #sxsw"
"Wow, #SXSW is so big that Apple is not just attending, their bringing along a temporary store! {link}",Apple,Positive emotion,"wow, #sxsw is so big that apple is not just attending, their bringing along a temporary store!"
"RT @mention No surprise, consumerization of IT makes its way into conversation of cloud adoption - and Apple's UI influence on enterprise #cloud #sxsw",,No emotion toward brand or product,"no surprise, consumerization of it makes its way into conversation of cloud adoption - and apple's ui influence on enterprise #cloud #sxsw"
"Well yeah.  Music &gt; iPhone nerds RT @mention my god, cute girls everywhere...I love when interactive ends and music begins #sxsw",iPhone,Positive emotion,"well yeah. music &gt; iphone nerds rt my god, cute girls everywhere...i love when interactive ends and music begins #sxsw"
"Google to Launch Major New Social Network Called Circles, {link} #sxsw - Brazil's orkut users have been waiting.",Other Google product or service,Positive emotion,"google to launch major new social network called circles, #sxsw - brazil's orkut users have been waiting."
"Check out the new app for Android launched at #SXSW, PLAY by Aol Music, essentially Instagram For Music. {link}",,No emotion toward brand or product,"check out the new app for android launched at #sxsw, play by aol music, essentially instagram for music."
RT @mention Love it. @mention #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;,Apple,Positive emotion,love it. #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;
Took a few days off (unplugged) to visit family. Anyone have #sxsw highlights? My Google reader is bursting at the seams!,,No emotion toward brand or product,took a few days off (unplugged) to visit family. anyone have #sxsw highlights? my google reader is bursting at the seams!
Google: 40% of map usage is mobile. Seeing a demo of new version of mobile maps. Nice! #SXSW,Other Google product or service,Positive emotion,google: 40% of map usage is mobile. seeing a demo of new version of mobile maps. nice! #sxsw
I'm not sure that I care about the first guy to get an iPad 2 at #sxsw unless he is about to post it to me...,,No emotion toward brand or product,i'm not sure that i care about the first guy to get an ipad 2 at #sxsw unless he is about to post it to me...
Looks like this was a fun session at #SXSW: &quot;Mistakes Made Building Nextflix for iPhone&quot;: {link},iPad or iPhone App,Positive emotion,looks like this was a fun session at #sxsw: &quot;mistakes made building nextflix for iphone&quot;:
Why is #GroupMe not available in Canada for iPhone users? #SXSW - Would love to check it out.,iPad or iPhone App,Negative emotion,why is #groupme not available in canada for iphone users? #sxsw - would love to check it out.
"Use question/answer, ask/receive kind of model in iPad app design. Give and take. Entice them to ask more. @mention #tapworthy #sxsw",,No emotion toward brand or product,"use question/answer, ask/receive kind of model in ipad app design. give and take. entice them to ask more. #tapworthy #sxsw"
Contextual discovery is a part of the future according to Google #SXSW,,No emotion toward brand or product,contextual discovery is a part of the future according to google #sxsw
"To those that have purchased an iPad 2 at #SXSW, I see more people buying the white one. Why? Nicer frame for presentations? Reading?",,No emotion toward brand or product,"to those that have purchased an ipad 2 at #sxsw, i see more people buying the white one. why? nicer frame for presentations? reading?"
Google Close to Launching New Social Network - Circles {link} #google #sxsw,,No emotion toward brand or product,google close to launching new social network - circles #google #sxsw
Download Daily Grape  - a new app from @mention for the iPhone.  You can take him with you to the wine shop. #sxsw,iPad or iPhone App,Positive emotion,download daily grape - a new app from for the iphone. you can take him with you to the wine shop. #sxsw
YES PLEASE RT@mention At #SXSW and want to win an iPad? Get on the case with @mention @mention and @mentionR,iPad,Positive emotion,yes please rt at #sxsw and want to win an ipad? get on the case with and
over 1k views! RT @mention What does an Apple security guy after he locks up the store..... #sxsw - {link},,No emotion toward brand or product,over 1k views! rt what does an apple security guy after he locks up the store..... #sxsw -
RT @mention RT @mention We're not launching any products at #SXSW but doing plenty else. Join us for #H4ckers today {link},,No emotion toward brand or product,rt we're not launching any products at #sxsw but doing plenty else. join us for #h4ckers today
Come to the 365PlusMedia booth at #SXSW (across from Google) -- like us on Twitter at the booth and get a free @mention body scrub!!,,No emotion toward brand or product,come to the 365plusmedia booth at #sxsw (across from google) -- like us on twitter at the booth and get a free body scrub!!
#notsurprised lots of Geosocial news today w/ #sxsw beginning - Google fires a shot at Foursquare with check in rewards {link},,No emotion toward brand or product,#notsurprised lots of geosocial news today w/ #sxsw beginning - google fires a shot at foursquare with check in rewards
"When brand focuses on purpose, not object, they survive &amp; succeed. Google: not search, useful info. Nike: not sneakers, performance. #sxsw",Google,Positive emotion,"when brand focuses on purpose, not object, they survive &amp; succeed. google: not search, useful info. nike: not sneakers, performance. #sxsw"
Among the cool/goofy things I've spied at #SxSW today - iPad case made to look like an EtchnSketch; grown up game of tug o' war.,,No emotion toward brand or product,among the cool/goofy things i've spied at #sxsw today - ipad case made to look like an etchnsketch; grown up game of tug o' war.
"If you're coming to #SXSW be sure to download the SXSW Go app, it has all the schedules and locations of the events. {link}",iPad or iPhone App,Positive emotion,"if you're coming to #sxsw be sure to download the sxsw go app, it has all the schedules and locations of the events."
Smart. #Apple creates pop-up store at #SXSW to peddle the iPad 2. - The #iPad 2 Takes Over SXSW [VIDEO] {link},iPad,Positive emotion,smart. #apple creates pop-up store at #sxsw to peddle the ipad 2. - the #ipad 2 takes over sxsw [video]
@mention Doh! I can share a pic of the update on my iPad since I'm not at #SXSW - if you'll mail me a shirt. ;),,No emotion toward brand or product,doh! i can share a pic of the update on my ipad since i'm not at #sxsw - if you'll mail me a shirt. ;)
Bing party in the same location as last year's Google party #irony #SXSW (@mention Six Lounge w/ @mention @mention {link},,No emotion toward brand or product,bing party in the same location as last year's google party #irony #sxsw ( six lounge w/
"Google's new version of Maps has already saved pp 2yrs in time spent locating places, since launch earlier this week. #SxSW",Other Google product or service,Positive emotion,"google's new version of maps has already saved pp 2yrs in time spent locating places, since launch earlier this week. #sxsw"
We just launched our iPad app at #SXSW! Get all the details + the first edition FREE: {link},,No emotion toward brand or product,we just launched our ipad app at #sxsw! get all the details + the first edition free:
"RT @mention :) RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,No emotion toward brand or product,") rt &quot;google before you tweet&quot; is the new &quot;think before you speak.&quot; - mark belinsky, #911tweets panel at #sxsw."
Mistakes I Made Building Netflix for the iPhone #netflixiphone @mention #sxsw,,No emotion toward brand or product,mistakes i made building netflix for the iphone #netflixiphone #sxsw
#BooYah! RT @mention @mention Just synced my #iPad2 and full of Apple joy #SXSW ;),iPad,Positive emotion,#booyah! rt just synced my #ipad2 and full of apple joy #sxsw ;)
SKORE &gt; @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,,No emotion toward brand or product,skore &gt; heard about apple's pop-up store in downtown austin? pics are already on gowalla: #sxsw #ipad2
When is someone going to ask why Bing is copying Google's search results? #qagb #SXSW #SEO,,No emotion toward brand or product,when is someone going to ask why bing is copying google's search results? #qagb #sxsw #seo
RT @mention Text &quot;SXSW&quot; to 24587 for chance to win iPad! Drawing 3/17 at Friends #SXSW. Must be present to win! See ya there! {link},,No emotion toward brand or product,text &quot;sxsw&quot; to 24587 for chance to win ipad! drawing 3/17 at friends #sxsw. must be present to win! see ya there!
@mention id love to know how many non-iPhone users are at #SXSW really... i mean cmon :),,No emotion toward brand or product,id love to know how many non-iphone users are at #sxsw really... i mean cmon :)
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,No emotion toward brand or product,for i-pad ?rt new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by ...
Rumor of Google launching their new social network called #Circles today at #sxswi #sxsw #t3sxsw {link},,No emotion toward brand or product,rumor of google launching their new social network called #circles today at #sxswi #sxsw #t3sxsw
Marissa Mayer of Google speaking at #SXSW mobile phone usage of google maps surpassed online use in the past couple months,Other Google product or service,Positive emotion,marissa mayer of google speaking at #sxsw mobile phone usage of google maps surpassed online use in the past couple months
Chrome Web Store: Google calls it the HTML5 Hot Tub #sxsw #steamy #hot #nerds,Other Google product or service,Positive emotion,chrome web store: google calls it the html5 hot tub #sxsw #steamy #hot #nerds
Our updated iPhone app has song info for select streams (incl. @mention 24/7) &amp; live video streaming in time for #SXSW {link},iPad or iPhone App,Positive emotion,our updated iphone app has song info for select streams (incl. 24/7) &amp; live video streaming in time for #sxsw
Just bought a #mophie juice pack for my iPhone! Solely because the cool kids were doing it. @mention @mention #sxsw,Other Apple product or service,Positive emotion,just bought a #mophie juice pack for my iphone! solely because the cool kids were doing it. #sxsw
"#SXSW ��� Rackspace Startup Program, Cloud 2.0 #iPad App Launched {link} via @mention",,No emotion toward brand or product,"#sxsw ��� rackspace startup program, cloud 2.0 #ipad app launched via"
"Day 3 - Party hangover, time confused, stumbling into &quot;iPad Interfaces &amp; New Navigation Structures.&quot; Bliss. #SXSW #fb",,No emotion toward brand or product,"day 3 - party hangover, time confused, stumbling into &quot;ipad interfaces &amp; new navigation structures.&quot; bliss. #sxsw #fb"
Woo hoo! @mention is finally back on the iPhone. {link} #sxsw #il,iPhone,Positive emotion,woo hoo! is finally back on the iphone. #sxsw #il
"Really excited to see the documentary Something Ventured at #sxsw today. About the rise of Intel, Apple, Genentech, Cisco, &amp; Atari.",,No emotion toward brand or product,"really excited to see the documentary something ventured at #sxsw today. about the rise of intel, apple, genentech, cisco, &amp; atari."
Locals must shop there too--prove the mkt RT @mention Apple to open temporary store for #SXSW at 6th and Congress {link},,No emotion toward brand or product,locals must shop there too--prove the mkt rt apple to open temporary store for #sxsw at 6th and congress
My #sxsw 2011 new iPhone app page. What's missing? See any breakouts? {link},,No emotion toward brand or product,my #sxsw 2011 new iphone app page. what's missing? see any breakouts?
RT @mention Head over to {link} by 1pm CST today to win VIP access to my acoustic solo set at #SXSW tonight alguien ahi?,,No emotion toward brand or product,head over to by 1pm cst today to win vip access to my acoustic solo set at #sxsw tonight alguien ahi?
New @mention for iPhone+Android.. No more service fees! Booyah #SXSW #GitChoCocktailOn,Android,Positive emotion,new for iphone+android.. no more service fees! booyah #sxsw #gitchococktailon
Apple out-markets all comers at #sxsw {link},Apple,Positive emotion,apple out-markets all comers at #sxsw
RT @mention Shhhh... the Promo Code for the iPad 2 Giveaway is SXSW2011 #SXSW Web Developers can be #winning too!... {link},,No emotion toward brand or product,shhhh... the promo code for the ipad 2 giveaway is sxsw2011 #sxsw web developers can be #winning too!...
"Before It Even Begins, Apple Wins��SXSW {link} #apple #sxsw",Apple,Positive emotion,"before it even begins, apple wins��sxsw #apple #sxsw"
"As I understand, this is buzzing from #SXSW : group texting, groupme, iPad 2, Apple, Denis Crowley...More ?",,No emotion toward brand or product,"as i understand, this is buzzing from #sxsw : group texting, groupme, ipad 2, apple, denis crowley...more ?"
I feel like a Badass. @mention gave me a free drink. #SXSW,,No emotion toward brand or product,i feel like a badass. gave me a free drink. #sxsw
@mention says she feels sexier when she uses an @mention product:-) #sxsw-influence,,No emotion toward brand or product,says she feels sexier when she uses an product:-) #sxsw-influence
"dear everyone coming to #SXSW, a friendly reminder that the iPad 2 comes out Friday and my birthday is Saturday. #justsayin",,No emotion toward brand or product,"dear everyone coming to #sxsw, a friendly reminder that the ipad 2 comes out friday and my birthday is saturday. #justsayin"
"Checking out -- Designing iPad Interfaces - New Navigation Schemas at SXSW.
{link} #SXSW #UXDes",,No emotion toward brand or product,checking out -- designing ipad interfaces - new navigation schemas at sxsw. #sxsw #uxdes
"Apple likes it when you pay them. As long as the gadget will be liked by many, this closed system will work. #pnid #sxsw",,No emotion toward brand or product,"apple likes it when you pay them. as long as the gadget will be liked by many, this closed system will work. #pnid #sxsw"
@mention really disappointed with the iPad app - lots of error messages have to switch to tweet deck for the rest of #sxsw,iPad or iPhone App,Negative emotion,really disappointed with the ipad app - lots of error messages have to switch to tweet deck for the rest of #sxsw
Marissa &amp; the Google crew recommend Amy's Ice Cream in Austin  #SxSW,,No emotion toward brand or product,marissa &amp; the google crew recommend amy's ice cream in austin #sxsw
Any #SXSW attendees need a QR code reader for their iPhone? Tweet us an image of you with your badge and the first 5 get Optiscan free!,iPad or iPhone App,Positive emotion,any #sxsw attendees need a qr code reader for their iphone? tweet us an image of you with your badge and the first 5 get optiscan free!
Already seeing iPad 2s all over the place at #sxsw,,No emotion toward brand or product,already seeing ipad 2s all over the place at #sxsw
#Google #Circles.. Google's latest Social venture Google Circles reportedly won't be launched at #SXSW today - {link},,No emotion toward brand or product,#google #circles.. google's latest social venture google circles reportedly won't be launched at #sxsw today -
On plane leaving for #sxsw.... I have never seen so many #apple devices on one plane! ;-),Apple,Positive emotion,on plane leaving for #sxsw.... i have never seen so many #apple devices on one plane! ;-)
"I wish I was in Austin, if only for the free iPad 2s. #sxsw",iPad,Positive emotion,"i wish i was in austin, if only for the free ipad 2s. #sxsw"
RT @mention Look everyone! Zomg @mention got an iPad 2 on the first day! #sxsw {link},iPad,Positive emotion,look everyone! zomg got an ipad 2 on the first day! #sxsw
"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion,"#sxsw is just starting, #ctia is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan"
"Hello, Holler Gram! Get to know @mention new iPad app {link} #hollergram #sxsw",,No emotion toward brand or product,"hello, holler gram! get to know new ipad app #hollergram #sxsw"
RT @mention Checking out the Apple pop up store. Looking fwd to checking out the iPad 2. #sxsw #mosaicxm MK {link},iPad,Positive emotion,checking out the apple pop up store. looking fwd to checking out the ipad 2. #sxsw #mosaicxm mk
"Geeks Without Bounds #sxsw #meetup Geeks Without Bounds Sun, March 13, 6pm ��� 7pm
Meet @mention the Turnstone Bus {link}",,No emotion toward brand or product,"geeks without bounds #sxsw #meetup geeks without bounds sun, march 13, 6pm ��� 7pm meet the turnstone bus"
Apple Installs Pop-Up Shop At #SXSW: Apple is setting up a special pop-up shop for visitors��_ {link},Apple,Positive emotion,apple installs pop-up shop at #sxsw: apple is setting up a special pop-up shop for visitors��_
RT @mention Just bought the last iPad 2 3G 64MB at the Apple pop-up store at #SxSW {link} &lt;-- lucky you!,iPad,Positive emotion,just bought the last ipad 2 3g 64mb at the apple pop-up store at #sxsw &lt;-- lucky you!
"Checking out Poked, Liked &amp; Re-Tweeted: A Google Love Story at SXSW.  #SXSW #sxsw15 #sxswiC",,No emotion toward brand or product,"checking out poked, liked &amp; re-tweeted: a google love story at sxsw. #sxsw #sxsw15 #sxswic"
"Will Google TV v 2 be too late, overrun by XBox, PS3, Wii, Netflix and the like; all ready now? #SXSW Barry Diller QA",,No emotion toward brand or product,"will google tv v 2 be too late, overrun by xbox, ps3, wii, netflix and the like; all ready now? #sxsw barry diller qa"
Catch our talk on Text-To-Speech for Android &amp; Chrome at The League of Extraordinary Hackers. {link} #SXSW,,No emotion toward brand or product,catch our talk on text-to-speech for android &amp; chrome at the league of extraordinary hackers. #sxsw
At the Apple Store downtown. Apple should really keep this store open permanently. Convience and location. #sxsw,Apple,Positive emotion,at the apple store downtown. apple should really keep this store open permanently. convience and location. #sxsw
"Thank Zeus. He promises not to say gamification: Steve Krug (iPad user) Explains It All for You.
{link} #SXSW #skrugSXSW",,No emotion toward brand or product,thank zeus. he promises not to say gamification: steve krug (ipad user) explains it all for you. #sxsw #skrugsxsw
#sxsw #touchingstories great presentation on future of digital magazines {link},,No emotion toward brand or product,#sxsw #touchingstories great presentation on future of digital magazines
80s band at google/ACLU 1986 party rocks  #SXSW  {link},Google,Positive emotion,80s band at google/aclu 1986 party rocks #sxsw
RT @mention At #sxsw with an iPhone? Use FREE iSpyArt App to send your photos of the #artallaround to @mention {link},,No emotion toward brand or product,at #sxsw with an iphone? use free ispyart app to send your photos of the #artallaround to
"@mention #sxsw blogger is orange, wodpress is blue, Google owns the market, so what do you do #winning",Google,Positive emotion,"#sxsw blogger is orange, wodpress is blue, google owns the market, so what do you do #winning"
did @mention just effectively kill their 3rd party developer base? {link} #sxsw #ismparty,,No emotion toward brand or product,did just effectively kill their 3rd party developer base? #sxsw #ismparty
| @mention We interrupt your regularly scheduled #sxsw geek programming with big news {link} #google #circles | via @mention,,No emotion toward brand or product,| we interrupt your regularly scheduled #sxsw geek programming with big news #google #circles | via
The iPad 2 Takes Over #SXSW [VIDEO] {link},iPad,Positive emotion,the ipad 2 takes over #sxsw [video]
Are you going to #SXSW in Austin and want to win an iPad. Mindjet is giving one away. Here are the details: {link},,No emotion toward brand or product,are you going to #sxsw in austin and want to win an ipad. mindjet is giving one away. here are the details:
"Art From the #iPad on view daily for #sxsw + free coffee, iDevice recharging at @mention �� Austin Details {link}",,No emotion toward brand or product,"art from the #ipad on view daily for #sxsw + free coffee, idevice recharging at �� austin details"
